index,title,q,a
581,'chinese'의 외래어 표기,'chinese'는 '차이니즈'와 '차이니스' 중 어떤 게 외래어 표기법에 맞는 건지요?,?영어 'chinese'는 '차이니스'로 적습니다. 외래어 표기 용례 중 영어 'Chinese collar'를 '차이니스칼라'로 적는 것에 준하면 영어 'chinese'[t?a?niːz]는 '차이니스'로 적을 수 있겠습니다. 영어 표기에서 어말에 [z]로 발음되는 '?s'는 '스'로 적는 관행이 있습니다.
582,'Catholic'의 외래어 표기,'Catholic'은 왜 '가톨릭'이라고 적나요? 원 발음이 '카톨릭'보다 '가톨릭'에 가까워서인가요?,?'Catholic'을 '가톨릭'으로 적는 것은 관련 분야의 표기 관행에 따른 것입니다. 'Catholic'[k?θ?lik]은 심의 과정에서 원어의 발음이 아니라 관련 분야에서 '가톨릭'이라고 널리 쓰이는 관행을 존중하여 '가톨릭'으로 적도록 하였습니다.
583,'box'의 외래어 표기,왜 똑같은 'box'인데 '권투'를 뜻하는 경우에는 '복스'로 쓰고 '상자'를 뜻하는 경우에는 '박스'로 쓰나요?,"?영어의 외래어 표기는 현지 발음의 국제음성기호와 한글 대조표에 따라 적되, 외래어표기법 제1장 제5항에 따라 이미 굳어진 외래어는 관용을 존중하기도 합니다. 'box'는 그 뜻과 상관없이 미국은 [b?ːks], 영국은 [b?ks]로 발음합니다만, '상자'를 뜻하는 'box'는 미국식 발음에 따라 굳어진 대로 '박스', '권투'를 뜻하는 'box'는 영국식 발음에 따라 굳어진 대로 '복스'로 표기하게 된 것입니다."
584,'accent'의 외래어 표기,'accent'의 발음 기호는 [æ?ksent]인데 '액센트'가 아닌 '악센트'가 맞는 표기로 규정되어 있는 이유는 무엇인가요?,"?영어의 외래어 표기는 현지 발음의 국제음성기호와 한글 대조표에 따라 적되, 외래어표기법 제1장 제5항에 따라 이미 굳어진 외래어는 관용을 존중하기도 합니다. 'accent'[æ?ksent]도 현지 발음에 따라 적으면 '액센트'로 적어야 하나 이미 '악센트'로 굳어져 쓰이는 관용을 존중하여 '악센트'로 적게 되었습니다."
585,"'격노', '격로'의 표기","'희로애락(喜怒哀樂)’을 보면 '怒'는 음절의 맨 앞에 있을 때에만 '노'라고 해야 할 것 같은데, '격노'는 왜 '격로'가 아닌 '격노'로 적나요?","?'격노(激怒)'의 '怒'는 본음 '노'로 나 '격노'로 적고 '희로애락(喜怒哀樂)'의 '怒'는 속음 '로'로 나 '희로애락'으로 적는 것입니다. 한글맞춤법 제52항에 따르면 한자어에서 본음으로도 나고 속음으로도 나는 것은 각각 그 소리에 따라 적는데, '激怒'의 '怒'는 본음 '노'로 나므로 '격노'와 같이 적고, '喜怒哀樂'의 '怒'는 속음 '로'로 나므로 '희로애락'으로 적는 것입니다."
586,'흙과'의 표준 발음,'흙과'의 표준 발음은 무엇인가요?,"?'흙과'의 표준 발음은 [흑꽈]입니다. 표준발음법 제4장 제11항에 따르면 겹받침 'ㄺ, ㄻ, ㄿ'은 어말 또는 자음 앞에서 각각 [ㄱ, ㅁ, ㅂ]으로 발음하고, 제23항에 따르면 받침 'ㄱ(ㄲ, ㅋ, ㄳ, ㄺ)' 뒤에 연결되는 'ㄱ'은 된소리로 발음하므로 '흙과'는 [흑꽈]로 발음하는 것입니다."
587,'흔하지'의 준말,'흔하지'의 준말은 무엇인가요?,?'흔하지'의 준말은 '흔치'입니다. 한글맞춤법 제40항에 따르면 어간의 끝음절 '하'의 'ㅏ'가 줄고 'ㅎ'이 다음 음절의 첫소리와 어울려 거센소리로 될 적에는 거센소리로 적으므로 '흔하지'에서 '하'의 'ㅏ'가 줄고 남은 'ㅎ'이 뒤의 'ㅈ'과 축약되어 'ㅊ'이 되므로 '흔치'로 적는 것입니다.
588,'흐트러지다'의 어원,'흐트러지다'는 '흩트리다'에 '-어지다'가 결합한 단어 아닌가요? 그렇다면 '흩뜨리다'에서 온 '흐뜨러지다'는 왜 없나요?,?'흐트러지다'는 '흩트리다'에 '-어지다'가 결합한 말이 아닙니다. '흩트리다'에 '-어지다'가 결합한 '흩트리어지다'가 줄면 '흩트려지다'가 되지 '흐트러지다'가 되지는 않습니다. '흐트러지다'의 어원에 대해서는 정확하게 알 수 없습니다.
589,'휘발유'의 표준 발음,'휘발유'의 표준 발음은 무엇인가요?,"?'휘발유'의 표준 발음은 [휘발류]입니다. 표준발음법 제29항에 따르면 파생어에서 앞 단어의 끝이 자음이고 접미사의 첫음절이 '유'인 경우에는, 'ㄴ' 음을 첨가하여 [뉴]로 발음하므로 파생어 '휘발유'의 '유'에 'ㄴ'이 첨가되고, 제20항에 따르면 'ㄴ'은 'ㄹ'의 앞이나 뒤에서 [ㄹ]로 발음하므로 첨가된 'ㄴ'이 'ㄹ' 뒤에서 [ㄹ]로 발음되어 [휘발류]로 발음되는 것입니다."
590,"'훈련받다', '훈련 받다'의 띄어쓰기",'훈련 받다/훈련받다'는 어떻게 띄어 쓰나요?,"?'훈련받다'로 붙여 씁니다. '받다'가 구체적인 사물을 받는 행위를 뜻할 때에는 동사로서 그 앞말과 띄어 써야 하지만, 일부 명사 뒤에서 피동의 뜻을 나타낼 때에는 접미사로서 앞말과 붙여 써야 합니다. 문의하신 것은 '훈련하다'에 대한 피동 표현이므로 피동의 뜻을 더하는 접미사 '-받다'를 붙여 '훈련받다'로 씁니다."
591,'후골'의 순우리말,일명 'adam's apple'이라 불리는 남자들의 목에 튀어나온 부분을 지칭하는 말을 사전에서 찾으니 '결후' 또는 '후골'이라고 나오는데 순우리말로는 명칭이 없나요?,?'후골'에 대응하는 우리말에는 '울대뼈'가 있습니다. '성년 남자의 목의 정면 중앙에 방패 연골의 양쪽 판이 만나 솟아난 부분'을 이르는 의학 전문어 '후두 융기'의 동의어로 '울대뼈'와 '후골'이 있으므로 '후골' 대신 고유어 '울대뼈'를 쓸 수 있겠습니다.
592,"'의미 있는', '의미있는'의 띄어쓰기","""죽기 전에 의미 있는 있을 하고 싶다.""에서 '있는'을 띄어 쓰는 게 맞는다는데, 왜 띄어 쓰는지요?","?'의미 있다'는 합성어가 아니기 때문입니다. '의미'와 '있다'는 각각의 단어이므로, '의미 있다'와 같이 띄어 적습니다. 명사 뒤에 '있다'가 오는 말 중에 형용사로 굳어진 말은 '값있다', '관계있다', '뜻있다', '맛있다', '멋있다', '빛있다', '상관있다', '재미있다' 정도입니다."
593,'효과가 크다'와 '효과가 높다'의 표현,"효과를 말할 때 '크다'를 쓰는 것이 맞나요, 아니면 '높다'를 쓰는 것이 맞나요?","?'효과가 크다', '효과가 높다' 모두 쓸 수 있습니다. 말뭉치에서 '효과'의 쓰임을 검색한 결과 '크다'와 어울리는 예가 '높다'와 어울리는 예의 1. 4배 정도로 많았지만 둘 다 널리 쓰이는 것을 알 수 있습니다."
594,"'효과 없는', '효과없는'의 띄어쓰기","'효과 없는', '효과없는'의 바른 띄어쓰기는 무엇인가요?","?'효과 없는'과 같이 띄어 쓰는 것이 맞습니다. '효과'와 '없다'는 각각의 단어이므로 '효과(가) 없는'과 같이 띄어 적습니다. 명사 뒤에 '없다'가 오는 말 중에 형용사로 굳어진 말로 '값없다', '경황없다', '관계없다', '기탄없다', '끝없다' 등 다수가 있습니다만, '효과 없다'는 한 단어가 아니므로 띄어 씁니다."
595,"'횟집', '회집'의 표기","'회집'이 맞나요, '횟집'이 맞나요?","?'횟집'이 맞습니다. 한글맞춤법 제30항에 따르면, 순우리말과 한자어로 된 합성어로서 앞말이 모음으로 끝나고 뒷말의 첫소리가 된소리로 나면 사이시옷을 받치어 적으므로, 한자어 '회(膾)'와 고유어 '집'이 결합한 합성어로서 뒷말의 첫소리가 된소리로 나는 이 말은 사이시옷을 받치어 '횟집'으로 적습니다."
596,"'홰', '횃대'의 쓰임","'새장이나 닭장 속에 새나 닭이 올라앉게 가로질러 놓은 나무 막대'를 '홰'라고 하고 '횃대'라고도 하는데, 표준국어대사전에서는 '횃대'가 '옷을 걸 수 있게 만든 막대'로 풀이되어 있어요. 그렇다면 '새장이나 닭장 속에 새나 닭이 올라앉게 가로질러 놓은 나무 막대'를 '횃대'라고는 할 수 없는지요?",?'새장이나 닭장 속에 새나 닭이 올라앉게 가로질러 놓은 나무 막대'를 이르는 표준어는 '홰'이므로 '횃대'라고 할 수는 없습니다. 알고 계신대로 표준어 '횃대'는 '옷을 걸 수 있게 만든 막대'를 이르므로 '홰'를 '횃대'로 쓰는 것은 적절하지 않습니다.
597,"'돌같이', '돌 같이'의 띄어쓰기","중학교 교과서에 ""황금 보기를 돌같이 하라.""로 표기되어 있던데, 제 생각으로는 '돌'과 '같이'도 개별 단어라서 '돌 같이'로 띄어 쓰는 것이 맞는 것이 아닐까요?","?""황금 보기를 돌같이 하라.""와 같이 붙여 쓰는 것이 맞습니다. 여기서 '같이'는 체언 뒤에 붙어 '앞말이 보이는 전형적인 어떤 특징처럼'을 뜻하는 조사이므로 앞말에 붙여 씁니다.?참고로, '같이'가 주로 격 조사 '과'나 여럿임을 뜻하는 말 뒤에 쓰여 '둘 이상의 사람이나 사물이 함께'의 뜻으로 '친구와 같이 사업을 하다'와 같이 쓰일 때나, '어떤 상황이나 행동 따위와 다름이 없이'의 뜻으로 ""선생님이 하는 것과 같이 하세요.""와 같이 쓰일 때에는 부사이므로 앞말과 띄어 씁니다."
598,'홉뜨다'의?피동 표현,"'홉뜨인', '홉떠진' 중 어느 쪽이 맞는 표현인가요?",?'홉떠진'이 맞습니다. '홉뜨다'의 피동 표현은 피동사 '홉뜨이다'가 없으므로 '홉뜨다'의 어간에 '피동'을 나타내는 '-어지다'를 붙여 '홉떠지다'로 표현합니다. '홉뜨다'의 어간 '홉뜨-'에 '-어지다'가 붙으면 '으' 탈락으로 '홉떠지다'가 되고 그 어간 '홉떠지-'에 과거의 관형사형 어미 '-ㄴ'을 붙이면 '홉떠진'이 됩니다.
599,"'호두', '호도'의 표현",'호두'와 '호도' 중 표준어는 어떤 것인가요?,?'호두'가 표준어입니다. '호두'는 원래 '호도(胡桃)'에서 비롯되었으나 점점 어원에 대한 인식이 약해져 양성모음이 음성모음으로 바뀌어 '호두'로 굳어졌으므로 '호두'를 표준어로 삼고 있습니다.
600,'혜량'과 '해량'의 차이,"""의당 찾아뵙고 감사의 인사를 드리는 것이 도리오나 우선 서면으로 인사 드림을 혜량하여 주시기 바랍니다.""에서 '혜량' 대신에 '해량'을 써도 문제가 없나요?","?제시된 맥락에서 '혜량' 대신 '해량'을 써도 무방합니다. '혜량(惠諒)'은 '남이 헤아려 살펴서 이해함'을 높여 이르는 말이고, '해량(海諒)'은 '바다와 같은 넓은 마음으로 너그럽게 양해함'의 뜻으로 주로 편지 따위에서 상대편에게 용서를 구할 때 쓰는 말이므로 둘 다 쓸 수 있습니다."
601,'현재로서는'과?'현재로써는'의 표현,'현재로서는'과 '현재로써는' 중 어느 것이 바른 표현인지요?,"?'현재로서는'이 바른 표현입니다. '현재로서는'은 '현재'에 '지위나 신분 또는 자격'을 나타내는 격 조사 '로서'와 강조의 보조사 '는'이 결합한 말로서 '현재의 처지로서는'의 뜻을 나타내어 ""이 병은 현재로서는 치료가 불가능합니다.""와 같이 쓰입니다."
602,'현재'와?'현행'의?차이,"보고서를 작성하는 과정에서 '현행 요금'과 '현재 요금'이라는 단어에 이견이 있는데, 분명하게 구분되는 차이점은 무엇인가요?","?'현행(現行)'은 '현재 행하고 있음. 또는 행하여지고 있음'이라는 뜻으로 '현행 제도', '관세를 현행대로 유지하다'와 같이 쓰이고, '현재'는 '지금의 시간'이라는 뜻으로 '현재 상황'과 같이 쓰입니다. '요금'이 단순한 '요금'만을 가리킨다면 '현재 요금'이 더 자연스럽지만, 요금 제도를 가리킨다면 '현행 요금 (제도)'가 더 자연스럽습니다."
603,'헛걸음'의 어종,'헛걸음'에서 '헛'이 고유어인가요?,"?'헛걸음'의 '헛-'은 고유어이기는 하나 어원적으로 순수한 고유어는 아닙니다. 여기서 '헛-'은 일부 명사 앞에 붙어 '이유 없는', '보람 없는'의 뜻을 더하는 접두사로 굳어진 말이라 원어 정보 없이 고유어로 제시되어 있기는 합니다만, 본디 【←허(虛)+-ㅅ】에서 비롯된 말이라 어원적으로 순수한 고유어는 아닙니다."
604,'헌신짝'의 형태소 분석,"'헌신짝'은 1차적으로 '헌신+짝'이 결합한 것인지요, 아니면 '헌+신짝'이 결합한 것인지요?",?'헌신짝'은 1차적으로 '헌'과 '신짝'이 결합한 말입니다. '헌신짝'의 직접 성분은 '오래되어 성하지 아니하고 낡은'의 뜻을 나타내는 관형사 '헌'과 '신'을 속되게 이르는 말 '신짝'입니다. 여기서 '신짝'은 '-짝'이 '비하'의 뜻을 더하는 접미사라 파생어입니다.
605,"'허점', '헛점'의 표기",'허점/헛점' 중 어느 게 바른 표기인가요?,"?'허점'이 바른 표기입니다. 한글맞춤법 제30항에 따르면 고유어와 고유어, 고유어와 한자어 구성의 합성어에서 뒷말이 된소리로 난다면 사이시옷을 받치어 적습니다만, '허점(虛點)'[허쩜]은 앞말이 받침 없이 끝나고 뒷말이 된소리로 나기는 하지만 한자어와 한자어가 결합한 말이라 사이시옷을 받치어 적지 않습니다. 참고로 한자어와 한자어가 결합한 말로 예외적으로 사이시옷을 받치어 적는 말은 '곳간, 셋방, 숫자, 찻간, 툇간, 횟수' 6가지에 한합니다."
606,'허섭스레기'와 '허접쓰레기'의 표현,'허섭스레기'와 '허접쓰레기' 중 어느 것이 표준어인가요?,?'허섭스레기'와 '허접쓰레기' 모두 표준어입니다. 본디 '허접쓰레기'는 '허섭스레기'의 비표준어였으나 2011년 심의를 거쳐 '허섭스레기'와 같은 뜻의 복수 표준어로 인정되었습니다.
607,"'허깨비', '헛개비'의 표기",'허깨비'와 '헛개비' 중 어느 것이 바른 표기인가요?,?'허깨비'가 바른 표기입니다. '기(氣)가 허하여 착각이 일어나 없는데 있는 것처럼 또는 다른 것처럼 보이는 물체'를 이르는 말은 소리 나는 대로 '허깨비'와 같이 적습니다.
608,'향신료'의 표준 발음,'향신료'의 표준 발음은 무엇인가요?,"'향신료'의 표준 발음은 [향신뇨]입니다. 표준발음법 제20항에 따르면 'ㄴ'은 'ㄹ' 앞뒤에서 [ㄹ]로 유음화되지만, 일부 단어들은 'ㄹ'을 [ㄴ]으로 비음화하는데, '향신료'는 '료'의 'ㄹ'이 '신'의 'ㄴ'에 동화되어 [ㄴ]으로 비음화하는 경우입니다."
609,'하였다'와 '했다'의 차이,문장 끝의 '했다'와 '하였다'가 무슨 차이가 있는지요?,"?'했다'는 '하였다'가 줄어든 형태로 뜻 차이는 없습니다. 한글맞춤법 제34항 [붙임 2]에 따르면, '하여'가 한 음절로 줄어서 '해'로 될 적에는 준 대로 적으므로, '하였다'가 줄어서 '했다'로 될 적에도 준 대로 적습니다."
610,'했다'와 '했었다'의 차이,동사 '하다'의 과거형은 '했다'이지만 '했었다'라는 말도 자주 쓰는데 '했었다'는 틀린 말인가요? 만약에 맞는 표현이라면 '했다'와 어떻게 다른지요?,"?'했다', '했었다' 모두 쓸 수 있습니다. '했다'는 '하-+-았-+-다'로 분석되고, '했었다'는 '하-+-았었-+-다'로 분석되는데, 여기서 '-았-'은 이야기하는 시점에서 볼 때 사건이나 행위가 이미 일어났음을 나타내거나 이야기하는 시점에서 볼 때 완료되어 현재까지 지속되거나 현재에도 영향을 미치는 상황을 나타내는 어미이고, '-았었-'은 현재와 비교하여 다르거나 단절되어 있는 과거의 사건을 나타내는 어미라 기능상의 차이가 있습니다."
611,"'햇빛',?'햇볕',?'햇살'의?쓰임",'{햇빛/햇볕/햇살}에 빨래를 말리다'에서 맞는 말은 무엇인가요?,"?의미적으로 '햇볕에 빨래를 말리다'가 가장 알맞습니다. '햇볕'은 '해가 내리쬐는 뜨거운 기운'을 뜻하고, '햇빛'은 단순히 '해의 빛'을 뜻하며, '햇살'은 '해가 내쏘는 광선'을 뜻하는데, 빨래는 열기에 의해 마르는 것이라 빛인 '햇빛'이나 빛의 줄기인 '햇살'보다는 뜨거운 기운인 '햇볕'이 맥락상 더 잘 어울리므로 '햇볕에 빨래를 말리다'가 가장 적절합니다."
612,'햇-'과 '해-'의 쓰임,"'햇과일' 할 때 '햇-' 말고, '해-'도 쓰이나요?","?'햇-'은 물론 '해-'도 쓰입니다. '그해에 난'의 뜻을 더하는 접두사는 어두음이 예사소리인 일부 명사 앞에서는 '햇감자', '햇병아리'와 같이 '햇-'으로 쓰이지만, 어두음이 된소리나 거센소리인 일부 명사 앞에서는 '해쑥', '해콩'과 같이 '해-'가 쓰입니다."
613,"'햇배',?'해딸기'의?표현","'햇배', '해딸기'는 쓸 수 없나요?","?'햇배', '해딸기'도 쓸 수 있습니다. '햇배', '해딸기'는 ""표준국어대사전""에 올라 있지는 않지만, '그해에 난'의 뜻을 더하는 접두사는 어두음이 예사소리인 일부 명사 앞에서 '햇감자', '햇병아리'와 같이 '햇-'으로 쓰이고, 어두음이 된소리나 거센소리인 일부 명사 앞에서 '해쑥', '해콩'과 같이 '해-'가 쓰이므로 어두음이 예사소리인 '배' 앞에는 '햇-'을 붙이고, 어두음이 된소리인 '딸기' 앞에는 '해-'를 붙여 '햇배', '해딸기'와 같이 쓸 수 있습니다."
614,"'공부해야 하다', '공부해야하다'의 띄어쓰기",'공부해야 하다'는 '공부해야하다'로 붙여 쓸 수 있나요?,"'공부해야 하다'는 '공부해야하다'로 붙여 쓸 수가 없습니다. 한글맞춤법 제47항에 따르면 '-어/-아' 뒤나 관형사형 뒤에 오는 보조 용언은 앞말과 붙여 쓰는 것이 허용되는데, '-어야 하다'의 '하다'는 그런 보조 용언이 아니므로 앞말과 붙여 쓰는 것이 허용되지 않습니다."
615,'해 보다'와 '해보다'의 띄어쓰기,'되는 데까지 {해 보다/해보다}'의 바른 표기는 무엇인가요?,"?'되는 데까지 해 보다'가 원칙이지만 '되는 데까지 해보다'로 쓸 수 있습니다. 여기에서 '보다'는 동사 뒤에서 '-어 보다' 구성으로 쓰여 '어떤 행동을 시험 삼아 함'을 나타내는 보조 동사로서 '되는 데까지 해 보다'처럼 앞말과 띄어 쓰는 것이 원칙이지만 '되는 데까지 해보다'처럼 앞말과 붙여 쓰는 것도 허용됩니다.?참고로 '대들어 맞겨루거나 싸우다'의 뜻을 나타내는 합성동사로 ""어디 한번 해보겠다는 거야?""와 같이 쓰이는 말도 있으니 문맥을 충분히 고려하여 띄어쓰기를 하기 바랍니다.?"
616,"'해?버릇하다',?'해버릇하다'의 띄어쓰기",'해 버릇하다/해버릇하다'와 같이 쓸 수 있나요?,"?'해 버릇하다', '해버릇하다'와 같이 쓸 수 있습니다. 여기서 '버릇하다'는 동사 뒤에서 '-어 버릇하다' 구성으로 쓰여, '앞말이 뜻하는 행동을 습관적으로 거듭함'을 나타내는 보조 동사이므로 앞말과 띄어 '해 버릇하다'로 띄어 쓰는 것이 원칙이나 '해버릇하다'로 붙여 쓰는 것도 허용됩니다."
617,"'해돋이', '달돋이'의 단어 형성법","'해돋이', '달돋이'는 파생어인가요, 합성어인가요?","?이에 대해서는 다양한 견해가 있습니다. 다만 ""표준국어대사전""에 따르면 '해돋이', '달돋이'는 합성어입니다. ""표준국어대사전""에서 '해돋이'는 '해-돋이'로, '달돋이'는 '달-돋이'로 직접 성분 분석이 되어 있으므로 합성어로 볼 수 있겠습니다."
618,'해감하다'와 '해감시키다'의 표현,"어패류의 이물질을 토해 내게 하는 것을 '해감시키다', '해감하다'라고 하던데, 사전에는 '해감'을 바닷물에 들어 있는 유기 물질 찌꺼기로 풀이를 하고 '해감을 빼다'라는 용례를 제시했더군요. 그럼 일상에서 꼭 '해감을 빼다'와 같이 써야 하는 건가요?","?어패류가 이물질을 토해 내게 한다는 뜻으로 '해감하다'도 쓸 수 있습니다. '해감을 뱉어 내게 만들다'의 뜻을 나타내는 동사 '해감하다'가 있으므로, ""조개를 해감하려면 소금에 담가 놓아야 한다.""와 같이 쓸 수 있습니다.?다만, '해감하다'로 충분히 그 뜻을 나타낼 수 있으므로 굳이 일부 명사 뒤에 붙어 '사동'의 뜻을 더하고 동사를 만드는 접미사 '-시키다'를 붙여 '해감시키다'로 쓸 필요는 없겠습니다."
619,"'해 나가야', '해나가야'의 띄어쓰기","'해 나가야', '해나가야' 모두 맞나요?","?'해 나가야', '해나가야' 모두 맞습니다. 여기서 '나가다'는 동사 뒤에서 '-어 나가다' 구성으로 쓰여 '앞말이 뜻하는 행동을 계속 진행함'을 나타내는 보조 동사이므로 한글맞춤법 제47항에 따라 '해 나가야'처럼 앞말과 띄어 쓰는 것이 원칙이나 '해나가야'처럼 붙여 쓰는 것도 허용됩니다."
620,'납량'의 표준 발음,'납량'의 표준 발음은 무엇인가요?,"?'납량'의 표준 발음은 [남냥]입니다. 표준발음법 제19항 [붙임]에 따르면 받침 'ㅂ' 뒤에 연결되는 'ㄹ'도 [ㄴ]으로 발음하므로 '납량'은 [납냥]이 되고, 제18항에 따르면 '받침 'ㅂ'은 그 'ㄴ' 앞에서 [ㅁ]으로 발음하므로 '납냥'이 [남냥]으로 되므로 '납량'은 [남냥]으로 발음합니다."
621,'함께여서'의 표현,'함께여서'와 같이 '함께'에다가 서술격 조사를 붙일 수 있는지요?,"?'함께여서'와 같이 쓸 수 있습니다. 서술격 조사 '이다'는 체언 뒤에 주로 붙지만, 부사 뒤에 붙어 ""일하는 솜씨가 제법이다."", ""여기에 온 건 내가 제일 먼저다.""와 같이 '주체의 행동이나 상태에 대한 양상'을 나타내기도 합니다. 따라서 ""너와 함께여서 행복했다.""와 같이 '함께여서'를 쓸 수 있습니다."
622,'할?수?없지'와?'하는?수?없지'의 표현,"'할 수 없지', '하는 수 없지'에서 바른 표현은 무엇인가요?","?'할 수 없지', '하는 수 없지' 모두 쓸 수 있습니다. '하는 수 없지'의 관형사형 어미 '-는'은 현재 시제를 나타내고, '할 수 없지'의 관형사형 어미 '-?'은 추측, 예정, 의지, 가능성 등 확정된 현실이 아님을 나타내기도 하지만, 특정한 시제의 의미가 없이 쓰이기도 합니다. 따라서 '할 수 없지'와 같이 시제의 의미 없이 쓰이는 경우에는 '하는 수 없지'와 뜻 차이가 거의 나지 않습니다.?참고로 '하는 수 없이'는 '어쩔 방법이나 도리 없이'의 뜻을 나타내는 관용구로 굳어진 말로 ""그는 출장을 가다가 아버지가 위독하다는 소식을 듣고 하는 수 없이 집으로 갔다.""와 같이 쓰입니다."
623,"'한주먹감', '한주먹 감'의 띄어쓰기",'그는 {한주먹감/한주먹 감}이다'에서 바른 띄어쓰기는 무엇인가요?,"?""그는 한주먹감이다.""와 같이 붙여 쓰는 것이 맞습니다. 여기서 '한주먹감'은 '한 번 때리는 주먹'을 뜻하는 합성어 '한주먹' 뒤에, 일부 명사 뒤에 붙어 '대상이 되는 도구, 사물, 사람, 재료의 뜻을 나타내는 명사 '감'이 붙은 말이므로 '한주먹감'과 같이 붙여 씁니다."
624,"'한밤중',?'회의?중'의?띄어쓰기",'한밤중'은 왜 붙여 쓰고 '회의 중'은 왜 띄어 쓰나요?,"?'한밤중'은 합성어라 붙여 쓰고, '회의 중'은 구라 띄어 씁니다. '한밤중'은 '깊은 밤'을 뜻하는 합성어라 붙여 쓰지만, '회의 중'의 '중'은 '무엇을 하는 동안'을 뜻하는 의존 명사로서 앞말과 띄어 씁니다."
625,"'한길', '행길'의 표현",'한길'과 '행길' 중 어느 것이 표준어인가요?,"?'한길'이 표준어입니다. '한길'은 '사람이나 차가 많이 다니는 넓은 길'을 이르는 표준어지만, '행길'은 '한길'의 방언으로 표준어가 아닙니다."
626,'한글'과?'한국어'의?쓰임,"'한글'과 '한국어'의 쓰임이 헷갈리네요. 대부분의 사람들이 '한글 자막'이라고 쓰는데, 제가 보기엔 '한국어 자막'이 맞는 거 같거든요. 둘 중에 어떤 게 맞는 건가요?","?'한글 자막'이 더 자연스럽습니다. 한국어를 한글로 적은 자막이므로 '한국어 자막'도 쓸 수는 있겠습니다만, '자막'이 '영화나 텔레비전 따위에서, 관객이나 시청자가 읽을 수 있도록 화면에 비추는 글자'를 뜻하므로 '한국어 자막'보다는 '한글 자막'이 좀 더 자연스럽습니다."
627,"'한자리', '한?자리'의?띄어쓰기","""회사에서 {한 자리/한자리}에 너무 오래 머물러 있는 사람은 ~""에서 알맞은 띄어쓰기는?","?""회사에서 한자리에 너무 오래 머물러 있는 사람은 ~""과 같이 붙여 쓰는 것이 맞습니다. '한자리'는 '같은 자리'를 뜻하는 합성어로 '한자리에 모이다', '한자리에 가만히 못 있다'와 같이 쓰입니다."
628,'한?일'과?'한?적'의 차이,"'~를 한 {일/적}이 있다.'는 어떤 차이가 있나요? 보통 자신의 경험을 얘기할 때 '한 적이 있다'를 주로 사용하는 것 같은데, '한 일이 있다'도 틀린 문장은 아닌 것 같아서요.","?'~를 한 적이 있다'와 '~를 한 일이 있다' 모두 쓸 수 있습니다. '일'은 '나는 해외여행을 가 본 일이 있다.'와 같이 '과거의 경험'을 나타내고, '적'은 '나는 집을 나온 다음 편한 잠을 자 본 적이 없다.'와 같이 '지나간 어떤 때'를 나타내 개념적인 차이는 있으나, 앞말과 어울려 지나간 경험을 나타낼 때에는 별 차이가 없습니다."
629,'한번 먹어 보자'와?'한?번 먹어 보자'의?띄어쓰기,"""{한 번/한번} 먹어 보자.""에서 알맞은 띄어쓰기는 무엇인가요?","?""한번 먹어 보자.""와 같이 붙여 쓰는 것이 알맞습니다. 여기에서 '한번'은 주로 '-어 보다' 구성과 함께 쓰여 '어떤 일을 시험 삼아 시도함'을 나타내는 부사이므로 붙여 쓰는 것이 맞습니다."
630,'할 수'의 표준 발음,'할 수 없다'에서 '수'의 표준 발음은 무엇인가요?,"?'할 수 없다'의 '수'는 [쑤]로 발음합니다. 표준발음법 제27항에 따르면 관형사형 '-(으)ㄹ' 뒤에 연결되는 'ㄱ, ㄷ, ㅂ, ㅅ, ㅈ'은 된소리로 발음하므로 '하다'의 관형사형 '할' 뒤에 연결되는 '수'는 [쑤]로 발음합니다."
631,"'교육원장', '교육원 장'의 띄어쓰기",'국방부 장관'은 띄어 쓰는데 '교육원장'도 '교육원 장'으로 띄어 써야 하나요?,"?'교육원장'으로 붙여 씁니다. '교육원장'은 한 단어로 없지만 '교육'에 일부 명사 뒤에 붙어 '공공 기관' 또는 '공공 단체'의 뜻을 더하는 접미사 '-원+E681(院)'과 '책임자', '우두머리'의 뜻을 더하는 접미사 '-장(長)'을 붙여 '교육원장'으로 적습니다.?참고로, '국방부 장관'에 준해 쓰고자 한다면 '교육원 원장'과 같이 쓸 수도 있습니다."
632,"'-재', '-쟤'의 표기","""친구가 같이 {숙제하재/숙제하쟤}.""에서 올바른 표기는 무엇인가요?","""친구가 같이 숙제하재.""가 올바른 표기입니다. 제시된 문장은 ""친구가 같이 숙제하자고 해.""가 줄어든 말로 '-자고 해'의 준말은 '-재'이므로 ""친구가 같이 숙제하재.""와 같이 쓰는 것입니다."
633,'하면'과?'하면은'의 차이,'무엇이든 하면'과 '무엇이든 하면은'은 구체적으로 어떤 차이가 있나요?,"?'무엇이든 하면은'은 '무엇이든 하면'과 개념적인 차이는 없지만 강조하는 뜻이 더 있습니다. 여기서 보조사 '은'은 받침 있는 체언이나 부사어, 일부 연결 어미 뒤에 붙어 '강조'의 뜻을 나타냅니다."
634,"'하루 동안', '하룻동안'의 표기","'하루 동안', '하룻동안' 중 올바른 표기는 무엇인가요?",?'하루 동안'이 올바른 표기입니다. '하루 동안'은 합성어가 아니고 구이므로 띄어 씁니다.
